City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
397,Bali,ID,79.77,overcast clouds,-8.5,115.0,"Pondok Pitaya: Hotel, Surfing and Yoga"
398,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
399,Kaura Namoda,NG,79.63,clear sky,12.5898,6.5779,Moonlight Hotel
400,Imbituba,BR,72.57,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
401,Gunjur,GM,77.07,clear sky,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
408,Banjar,ID,77.27,overcast clouds,-8.19,114.9675,The Hamsa Resort
409,Bria,CF,71.22,clear sky,6.5423,21.9863,WFP Guesthouse
410,Lee,US,84.24,scattered clouds,26.567,-81.8831,Hilton Garden Inn Fort Myers
412,Batticaloa,LK,74.98,light rain,7.7102,81.6924,Treatooo Hotel
414,Kimbe,PG,75.76,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
